t,iL,vC,Vsw,Vin
0.005625002599999994,0.97653353,4.583363,-0.7499076,10.0
0.005625002615624994,0.9765332,4.583363,-0.8332315,10.0
0.005626254099999986,0.94621146,4.5841193,-0.8323499,10.0
0.005627505584374979,0.9158918,4.58436,-0.83151484,10.0
0.00562896558437497,0.880527,4.5839915,-0.8304963,10.0
0.005629999,0.85550195,4.583309,-0.8297506,10.0
0.005629999999999999,0.85548383,4.583308,1.8774736,10.0
0.005630000999999999,0.8554858,4.5833077,6.389513,10.0
0.005630003,0.8555262,4.583306,9.999145,10.0
0.005631332499999992,0.8877256,4.582496,9.999112,10.0
0.005632661999999985,0.91992766,4.582268,9.99908,10.0
0.005634061999999977,0.95383644,4.5826554,9.999046,10.0
0.005635001,0.9765771,4.583274,9.999023,10.0
0.005635001599999189,0.9765916,4.5832744,9.999023,10.0
0.005635001599999577,0.9765916,4.5832744,9.999023,10.0
0.0056350015999999635,0.9765916,4.5832744,9.999023,10.0
0.005635001599999974,0.9765916,4.5832744,9.999023,10.0
0.005635001599999994,0.9765916,4.5832744,9.9990225,10.0
0.005635002599999994,0.9765673,4.5832753,-0.7499085,10.0
0.005635002615624995,0.976567,4.5832753,-0.8332324,10.0
0.005636311599999987,0.94485265,4.5840554,-0.83231276,10.0
0.005637620584374978,0.91314065,4.584271,-0.83143705,10.0
0.00563899558437497,0.8798357,4.583892,-0.83047605,10.0
0.005639999000000001,0.8555376,4.5832253,-0.8297517,10.0
0.005639999999999999,0.8555195,4.5832243,1.8774728,10.0
0.0056400009999999995,0.8555215,4.5832233,6.3895125,10.0
0.005640003,0.85556185,4.583222,9.999145,10.0
0.005641287499999993,0.8866718,4.582431,9.999113,10.0
0.005642571999999986,0.91778433,4.5821834,9.999083,10.0
0.005644091999999977,0.9546002,4.5825896,9.999045,10.0
0.005645000999999999,0.9766146,4.583194,9.999023,10.0
0.005645001599999307,0.9766291,4.5831943,9.999023,10.0
0.005645001599999725,0.9766291,4.5831943,9.999023,10.0
0.005645001599999963,0.9766291,4.5831943,9.999023,10.0
0.0056450015999999735,0.9766291,4.5831943,9.999023,10.0
0.0056450015999999935,0.9766291,4.5831943,9.9990225,10.0
0.005645002599999994,0.9766048,4.583195,-0.7499095,10.0
0.005645002615624994,0.97660446,4.583195,-0.8332334,10.0
0.005646286599999986,0.94549626,4.5839663,-0.83233035,10.0
0.005647570584374978,0.9143903,4.584194,-0.8314724,10.0
0.00564902558437497,0.87914807,4.5837994,-0.8304558,10.0
0.005649999,0.8555768,4.5831485,-0.82975286,10.0
0.005649999999999999,0.8555587,4.5831475,1.8774719,10.0
0.005650000999999999,0.8555607,4.583147,6.3895125,10.0
0.005650003,0.85560113,4.583145,9.999145,10.0
0.005651357499999992,0.88840693,4.582328,9.999111,10.0
0.005652711999999985,0.92121553,4.5821147,9.999079,10.0
0.005654121999999977,0.9553674,4.582532,9.999044,10.0
0.005655001,0.9766555,4.583121,9.999023,10.0
0.005655001599999725,0.97667,4.5831213,9.999023,10.0
0.0056550015999999636,0.97667,4.5831213,9.999023,10.0
0.005655001599999974,0.97667,4.5831213,9.999023,10.0
0.005655001599999994,0.97667,4.5831213,9.9990225,10.0
0.005655002599999994,0.9766457,4.5831223,-0.74991053,10.0
0.005655002615624995,0.97664535,4.5831223,-0.8332345,10.0
0.005656291599999986,0.94541645,4.583896,-0.8323282,10.0
0.005657580584374979,0.91418976,4.584123,-0.83146673,10.0
0.00565905558437497,0.87846375,4.583714,-0.83043563,10.0
0.005659999000000001,0.8556193,4.5830793,-0.8297541,10.0
0.005659999999999999,0.85560113,4.5830784,1.8774709,10.0
0.005660001,0.85560316,4.583078,6.389512,10.0
0.005660003,0.8556436,4.583076,9.999145,10.0
0.005661267499999994,0.88626987,4.5822954,9.999114,10.0
0.005662531999999987,0.9168988,4.582041,9.9990835,10.0
0.005664151999999977,0.9561377,4.582482,9.999043,10.0
0.005665000999999999,0.9766995,4.5830555,9.999023,10.0
0.005665001599999307,0.97671396,4.583056,9.999023,10.0
0.005665001599999725,0.97671396,4.583056,9.999023,10.0
0.005665001599999963,0.97671396,4.583056,9.999023,10.0
0.0056650015999999736,0.97671396,4.583056,9.999023,10.0
0.0056650015999999935,0.97671396,4.583056,9.9990225,10.0
0.005665002599999994,0.9766897,4.583057,-0.7499117,10.0
0.005665002615624994,0.97668934,4.583057,-0.8332357,10.0
0.005666304099999986,0.94515795,4.5838366,-0.8323211,10.0
0.005667605584374978,0.9136289,4.584059,-0.8314509,10.0
0.005669085584374969,0.8777823,4.5836363,-0.8304156,10.0
0.005669999,0.8556647,4.583018,-0.8297555,10.0
0.005669999999999999,0.8556465,4.583017,1.8774699,10.0
0.005670000999999999,0.8556485,4.5830164,6.3895116,10.0
0.005670003,0.8556889,4.5830145,9.999145,10.0
0.005671369999999992,0.88879836,4.582195,9.999111,10.0
0.005672736999999985,0.92191046,4.58199,9.999078,10.0
0.005674181999999976,0.9569108,4.58244,9.999043,10.0
0.005675001,0.97674614,4.582998,9.999023,10.0
0.005675001599999308,0.9767607,4.5829983,9.999023,10.0
0.005675001599999725,0.9767607,4.5829983,9.999023,10.0
0.005675001599999964,0.9767607,4.5829983,9.999023,10.0
0.005675001599999974,0.9767607,4.5829983,9.999023,10.0
0.005675001599999994,0.9767607,4.5829983,9.9990225,10.0
0.005675002599999994,0.97673637,4.582999,-0.7499129,10.0
0.005675002615624995,0.976736,4.582999,-0.8332369,10.0
0.005676284099999987,0.9456895,4.583772,-0.83233565,10.0
0.005677565584374979,0.91464514,4.584005,-0.8314796,10.0
0.00567911558437497,0.8771035,4.5835657,-0.8303956,10.0
0.005679999000000001,0.85571253,4.5829644,-0.829757,10.0
0.005679999999999999,0.8556944,4.5829635,1.8774688,10.0
0.005680001,0.85569644,4.5829625,6.389511,10.0
0.005680003,0.8557368,4.582961,9.999145,10.0
0.005681257499999993,0.8861216,4.582186,9.999114,10.0
0.005682511999999987,0.91650885,4.5819297,9.9990835,10.0
0.005684211999999977,0.95768625,4.582406,9.9990425,10.0
0.005685000999999999,0.9767952,4.582948,9.999023,10.0
0.005685001599999189,0.9768097,4.5829487,9.999023,10.0
0.005685001599999546,0.9768097,4.5829487,9.999023,10.0
0.005685001599999725,0.9768097,4.5829487,9.999023,10.0
0.005685001599999963,0.9768097,4.5829487,9.999023,10.0
0.005685001599999974,0.9768097,4.5829487,9.999023,10.0
0.0056850015999999936,0.9768097,4.5829487,9.9990225,10.0
0.005685002599999994,0.9767854,4.5829496,-0.7499142,10.0
0.005685002615624994,0.97678506,4.5829496,-0.8332382,10.0
0.005686314099999986,0.94501203,4.5837355,-0.8323171,10.0
0.005687625584374978,0.9132413,4.583955,-0.8314399,10.0
0.005689145584374969,0.8764269,4.5835032,-0.8303756,10.0
0.005689999,0.8557626,4.5829186,-0.82975847,10.0
0.005689999999999999,0.8557445,4.5829177,1.8774676,10.0
0.005690000999999999,0.8557465,4.582917,6.3895106,10.0
0.005690003,0.8557869,4.5829153,9.999145,10.0
0.0056913749999999924,0.889018,4.5820956,9.999111,10.0
0.005692746999999985,0.9222519,4.581896,9.999078,10.0
0.005694241999999976,0.9584638,4.582381,9.999042,10.0
0.005695001,0.9768462,4.5829067,9.999023,10.0
0.005695001599998712,0.97686076,4.582907,9.9990225,10.0
0.0056950015999995465,0.97686076,4.582907,9.999023,10.0
0.005695001599999725,0.97686076,4.582907,9.999023,10.0
0.005695001599999964,0.97686076,4.582907,9.999023,10.0
0.005695001599999974,0.97686076,4.582907,9.999023,10.0
0.005695001599999994,0.97686076,4.582907,9.9990225,10.0
0.005695002599999994,0.9768365,4.582908,-0.74991554,10.0
0.005695002615624995,0.9768361,4.582908,-0.83323956,10.0
0.005696281599999986,0.9458507,4.583682,-0.83234006,10.0
0.005697560584374979,0.91486734,4.5839176,-0.8314859,10.0
0.005699175584374969,0.87575215,4.5834484,-0.8303557,10.0
0.005699999000000001,0.8558145,4.582881,-0.82976,10.0
0.005699999999999999,0.8557964,4.5828805,1.8774664,10.0
0.005700001,0.8557984,4.5828795,6.38951,10.0
0.005700003,0.8558388,4.5828776,9.999145,10.0
0.005701252499999993,0.8861029,4.582107,9.999114,10.0
0.005702501999999987,0.9163695,4.5818505,9.9990835,10.0
0.005704271999999976,0.95924294,4.582364,9.999041,10.0
0.0057050009999999995,0.9768989,4.5828733,9.999023,10.0
0.005705001599998712,0.97691345,4.582874,9.9990225,10.0
0.005705001599999725,0.97691345,4.582874,9.999023,10.0
